"","name","type","allele1","allele2","rpkm","info"
"36","BICR56","A","02:01","24:02'",48.7,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"37","BICR56","DQB1","06:02'","06:02",3.86,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"38","BICR56","B","50:01","07:02",65.89,""
"39","BICR56","DRB1","15:01","14:103",3.25,""
"40","BICR6","DRB1","15:01'","03:01'",8.06,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"41","BICR6","DQB1","06:02'","06:02",4.7,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"42","BICR6","C","07:02","05:01",49.15,""
"43","BICR6","A","01:02'","30:02",41.77,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"44","BICR6","DQA1","01:02'","05:02'",0.61,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"45","BICR6","B","07:02","18:01",21.52,""
"46","CAL33","C","05:01","07:01'",159.8,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"47","CAL33","B","08:01","08:01",232.81,""
"48","CAL33","DRB1","03:01'","03:01",21.59,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"49","CAL33","DQA1","05:02'","03:02'",0.1,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"50","CAL33","DQB1","02:01'","02:01",0.93,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"51","CAL33","A","30:02'","01:01",36.6,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"52","HSC2","A","24:02","33:03",50.84,""
"53","HSC2","B","08:01","54:01",1.19,""
"54","HSC2","C","01:02","14:03'",24.07,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"55","HSC2","DQA1","05:02'","02:01",0.03,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"56","HSC2","DQB1","06:08'","06:08",1.69,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"57","HSC2","DRB1","13:02'","11:30'",0.09,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"58","HSC4","DRB1","15:01'","04:22",0.06,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"59","HSC4","C","07:02","14:02",219.6,""
"60","HSC4","DQA1","03:02'","05:02'",0.06,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"61","HSC4","A","24:02","31:01",282.2,""
"62","HSC4","DQB1","05:01","03:04'",0.12,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"63","HSC4","B","51:01","07:02",86.01,""
"64","PECAPJ15","DQB1","06:02","06:02",1.92,""
"65","PECAPJ15","C","12:03","12:03",224.83,""
"66","PECAPJ15","DQA1","01:02'","01:02",0.1,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"67","PECAPJ15","DRB1","15:02'","11:30'",0.45,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"68","PECAPJ15","B","18:01","44:03'",100.39,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"69","PECAPJ15","A","25:01","03:01",202.74,""
"70","PECAPJ34CLONEC12","DQB1","02:02'","05:04",0.15,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"71","PECAPJ34CLONEC12","DRB1","03:01'","01:01'",0.09,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"72","PECAPJ34CLONEC12","B","08:01","44:03'",105.68,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"73","PECAPJ34CLONEC12","A","32:01'","32:01",73.29,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"74","PECAPJ34CLONEC12","C","16:01","07:01'",147.38,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"75","PECAPJ41CLONED2","DQA1","06:01","06:01",0.07,""
"76","PECAPJ41CLONED2","B","13:02","51:01",68.63,""
"77","PECAPJ41CLONED2","A","24:02","02:01",135.71,""
"78","PECAPJ41CLONED2","DRB1","10:01","07:01",0.03,""
"79","PECAPJ41CLONED2","C","15:02'","06:02",113.3,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"80","PECAPJ41CLONED2","DQB1","05:04","05:04",0.03,""
"81","PECAPJ49","C","02:02","02:02",294.79,""
"82","PECAPJ49","B","40:02","40:02",349.99,""
"83","PECAPJ49","DQA1","01:02'","05:02'",0.38,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"84","PECAPJ49","DQB1","06:03'","06:03",28.29,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"85","PECAPJ49","A","32:01'","32:01",283.06,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"86","PECAPJ49","DRB1","03:17'","13:01'",3.98,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"87","SCC15","DQA1","04:01","04:01",0.79,""
"88","SCC15","B","08:01","51:01",87.49,""
"89","SCC15","DQB1","04:02'","04:02",6.81,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"90","SCC15","A","01:01","01:01",209.67,""
"91","SCC15","DRB1","08:01'","03:01",1.53,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"92","SCC15","C","14:02","07:01'",153.31,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"93","SCC25","A","02:01","02:01",517.46,""
"94","SCC25","C","07:01'","07:01",347.14,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"95","SCC25","DQB1","06:13'","06:13",0.03,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"96","SCC25","B","08:01","08:01",599.62,""
"97","SCC25","DRB1","13:44","11:22",0.09,""
"98","SCC4","DQA1","01:02'","02:01",0.06,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"99","SCC4","DRB1","15:01'","07:01",1.16,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"100","SCC4","B","07:02","44:03'",19.67,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"101","SCC4","DQB1","06:02'","02:02'",1.42,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"102","SCC4","C","04:01","07:02",69.62,""
"103","SCC4","A","02:01","02:01",77.98,""
"104","SCC9","B","44:03'","35:03",6.97,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"105","SCC9","DQA1","05:02'","01:02'",0.05,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"106","SCC9","C","16:02","04:01",33.31,""
"107","SCC9","DRB1","13:14","01:16",0.07,""
"108","SCC9","A","01:01","02:01",49.93,""
"109","SNU1066","B","27:05","15:01",322.97,""
"110","SNU1066","DRB1","01:01","04:03'",2.26,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"111","SNU1066","DQB1","05:01","03:02'",0.36,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"112","SNU1066","DQA1","03:02'","01:02'",0.13,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"113","SNU1066","A","24:02","02:06'",569.59,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"114","SNU1066","C","04:01","01:02",525.51,""
"115","SNU1076","DRB1","10:01","09:01",3.01,""
"116","SNU1076","DQB1","05:01","05:01",5.69,""
"117","SNU1076","DQA1","01:02'","05:02'",0.16,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"118","SNU1076","C","06:02","03:04'",253.55,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"119","SNU1076","A","02:01","01:01",124.55,""
"120","SNU1076","B","37:01","13:01",71.79,""
"121","SNU1214","A","11:01","11:01",119.48,""
"122","SNU1214","B","13:01","13:01",151.99,""
"123","SNU1214","DQA1","04:01","04:01",0.03,""
"124","SNU1214","C","07:02","07:02",117.64,""
"125","SNU1214","DQB1","03:04'","03:04",0.05,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"126","SNU1214","DRB1","12:02'","13:67",0.44,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"127","SNU899","A","02:06'","02:06",106.22,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"128","SNU899","B","15:01'","15:01",33.84,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"129","SNU899","DRB1","03:02","14:06'",0.24,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"130","SNU899","DQA1","01:02'","01:02",0.11,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"131","SNU899","C","04:01","04:01",145.36,""
"132","YD10B","DQB1","05:03","06:09'",5.1,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"133","YD10B","B","51:01'","58:01",98.76,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"134","YD10B","C","14:02","03:02'",150.36,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"135","YD10B","A","02:06'","33:03",122.29,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"136","YD10B","DRB1","03:35","11:13",2.31,""
"137","YD10B","DQA1","05:01","05:01",0.06,""
"138","YD8","DRB1","15:01'","11:09",0.13,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"139","YD8","B","40:02'","15:01'",161.26,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"140","YD8","C","03:04'","03:04",211.84,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"141","YD8","A","31:01","31:01",274.85,""
"142","YD8","DQB1","06:13'","02:02'",0.3,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"143","YD8","DQA1","01:02'","01:02",0.54,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"144","HS840T","DQA1","03:02'","05:02'",0.07,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"145","HS840T","DRB1","15:02'","14:13",0.07,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"146","HS840T","C","06:02","12:03",77.93,""
"147","HS840T","A","25:01","02:01",53.99,""
"148","HS840T","B","13:02","18:01",27.75,""
"149","CHP126","B","51:01'","08:01",0.13,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"150","CHP126","A","03:01","24:02",14.99,""
"151","CHP126","DQA1","01:02'","01:02",0.03,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"152","CHP126","C","07:02","04:01'",0.36,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"153","IMR32","DQB1","02:02'","02:02",0.09,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"154","IMR32","B","07:05'","07:05",0.12,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"155","IMR32","DRB1","11:09","11:09",0.03,""
"156","IMR32","A","24:02","24:02",11.77,""
"157","IMR32","C","12:03","05:01",0.21,""
"158","IMR32","DQA1","05:02'","03:02'",0.06,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"159","KELLY","C","07:01'","03:03'",1.2,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"160","KELLY","A","01:01","01:01",28.37,""
"161","KELLY","DQA1","03:02'","03:02",0.09,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"162","KELLY","DRB1","07:01","12:01'",0.08,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"163","KELLY","B","08:01","51:01'",0.15,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"164","KPNRTBM1","A","24:02","31:01",42.76,""
"165","KPNRTBM1","DRB1","15:30","11:01'",0.08,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"166","KPNRTBM1","B","35:03'","56:01",0.26,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"167","KPNRTBM1","C","01:02","03:03'",0.51,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"168","KPNRTBM1","DQA1","05:02'","05:02",0.04,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"169","KPNSI9S","B","52:01","52:01",12.2,""
"170","KPNSI9S","C","12:02","12:02",33.87,""
"171","KPNSI9S","A","24:02","24:02",265.28,""
"172","KPNSI9S","DQA1","04:01","01:02'",0.07,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"173","KPNSI9S","DQB1","06:07'","06:07",0.03,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"174","KPNSI9S","DRB1","11:04'","04:13'",0.1,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"175","KPNYN","DQB1","03:04'","03:04",0.04,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"176","KPNYN","B","52:01'","40:02'",0.14,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"177","KPNYN","DRB1","04:74","15:01'",0.07,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"178","KPNYN","DQA1","01:02'","02:01",0.04,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"179","KPNYN","A","24:02'","26:02'",29.57,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"180","KPNYN","C","03:04'","07:41",0.14,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"181","MHHNB11","B","40:16","40:16",0.1,""
"182","MHHNB11","C","07:01'","07:01",0.82,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"183","MHHNB11","A","03:01","02:01",45.66,""
"184","MHHNB11","DRB1","16:05'","04:07'",0.05,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"185","MHHNB11","DQA1","04:01","01:02'",0.03,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"186","NH6","B","07:02","35:08'",1.37,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"187","NH6","C","07:02","03:03",7.96,""
"188","NH6","DQB1","06:04'","06:04",0.03,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"189","NH6","A","24:02","02:06'",40.92,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"190","SIMA","B","51:01","40:01'",0.25,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"191","SIMA","DRB1","01:03","11:34",0.05,""
"192","SIMA","C","06:02","12:02'",0.31,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"193","SIMA","A","03:01","03:01",30.22,""
"194","SIMA","DQB1","03:02'","03:02",0.03,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"195","SKNAS","DQA1","03:02'","03:02",0.03,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"196","SKNAS","B","14:01","40:01",2.53,""
"197","SKNAS","A","24:02","26:01'",97.33,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"198","SKNAS","C","03:04","08:02'",16.59,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"199","SKNAS","DRB1","10:04","10:04",0.03,""
"200","SKNAS","DQB1","02:02'","02:02",0.03,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"201","SKNBE2","DRB1","14:76","11:02'",0.05,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"202","SKNBE2","A","30:02","01:01",24.95,""
"203","SKNBE2","B","07:05'","55:01'",0.22,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"204","SKNBE2","C","07:01'","07:01",0.83,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"205","SKNDZ","DQB1","03:04'","03:04",0.03,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"206","SKNDZ","DQA1","01:02'","01:02",0.03,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"207","SKNDZ","C","18:05","01:02'",0.1,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"208","SKNDZ","DRB1","01:02'","01:02",0.05,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"209","SKNDZ","B","51:10'","40:01'",0.08,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"210","SKNDZ","A","24:03","02:01'",12.86,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"211","SKNFI","DQB1","02:01'","03:04'",1.02,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"212","SKNFI","B","08:01","44:02'",0.6,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"213","SKNFI","C","07:01'","04:01",12.99,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"214","SKNFI","DQA1","04:01","01:02'",0.03,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"215","SKNFI","A","23:01","03:01",23.52,""
"216","SKNFI","DRB1","01:02'","13:67",0.07,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"217","HUCCT1","DQB1","06:11'","05:02'",0.17,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"218","HUCCT1","B","51:01","44:02",2.91,""
"219","HUCCT1","DRB1","13:01'","14:13",0.03,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"220","HUCCT1","DQA1","04:01","04:01",0.03,""
"221","HUCCT1","A","11:01'","11:01",4.13,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"222","HUCCT1","C","15:02","08:02'",2.19,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"223","SNU1079","B","48:01","44:03'",13.73,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"224","SNU1079","A","33:03","31:01",48.61,""
"225","SNU1079","C","14:03'","03:03",87.16,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"226","SNU1079","DQB1","05:03'","02:02'",0.03,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"227","SNU1079","DQA1","05:02'","01:02'",0.03,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"228","SNU1079","DRB1","14:05'","14:05",2.05,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"229","SNU1196","DQA1","01:02'","01:02",0.03,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"230","SNU1196","A","24:02","24:02",208.39,""
"231","SNU1196","C","01:02","01:02",39.12,""
"232","SNU1196","B","54:01","54:01",19.11,""
"233","SNU1196","DRB1","11:09","11:09",0.05,""
"234","SNU245","B","35:01'","44:03'",8.39,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"235","SNU245","DRB1","15:01","01:01",0.36,""
"236","SNU245","DQB1","06:02'","05:01'",0.08,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"237","SNU245","C","14:03'","03:03",22.62,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"238","SNU245","A","02:01","33:03",88.75,""
"239","SNU308","DRB1","13:02'","03:79",6.59,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"240","SNU308","DQB1","06:09'","06:09",4.3,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"241","SNU308","C","08:03'","03:02'",29.9,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"242","SNU308","A","24:02","33:03",100.07,""
"243","SNU308","B","48:01","58:01",28.56,""
"244","SNU308","DQA1","01:02'","01:02",0.06,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"245","SNU478","DQB1","06:09'","06:09",0.49,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"246","SNU478","DRB1","13:02'","11:30'",0.29,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"247","SNU478","B","58:01","52:01",9.55,""
"248","SNU478","A","33:03","11:01",39.4,""
"249","SNU478","C","03:02","12:02",25.67,""
"250","SNU869","DQB1","06:04'","06:04",22.16,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"251","SNU869","DRB1","13:02'","03:79",56.79,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"252","SNU869","A","33:03","33:03",303.81,""
"253","SNU869","DQA1","01:02'","01:02",3.15,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"254","SNU869","C","14:03'","14:03",243.49,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"255","SNU869","B","44:03'","44:03",213.3,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"256","CAL78","C","12:03","03:03",96.75,""
"257","CAL78","A","29:01'","32:01",118.06,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"258","CAL78","DQA1","02:01","02:01",0.07,""
"259","CAL78","DRB1","12:01'","09:01",0.06,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"260","CAL78","B","18:01","55:01",36.55,""
"261","HS819T","DQB1","03:02'","03:02",0.03,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"262","HS819T","A","03:01","02:01'",92.44,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"263","HS819T","B","18:01","15:01'",6.69,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"264","HS819T","C","03:04","05:01",41.14,""
"265","HS819T","DRB1","03:01'","15:01'",0.5,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"266","SW1353","A","24:02","29:02",82.02,""
"267","SW1353","B","44:02'","44:02",61.03,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"268","SW1353","C","02:02","16:01",67.53,""
"269","SW1353","DQA1","02:01","02:01",0.14,""
"270","A673","DQB1","03:02'","03:02",0.02,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"271","A673","B","07:02","07:02",30.58,""
"272","A673","A","01:01","02:01",71.2,""
"273","A673","DRB1","14:76","15:01'",0.12,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"274","A673","C","07:02","07:02",56.41,""
"275","CADOES1","A","24:02","11:01",285.96,""
"276","CADOES1","C","04:01","07:02",277.91,""
"277","CADOES1","DRB1","04:05'","04:05",0.03,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"278","CADOES1","B","40:01'","15:01'",218.91,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"279","HS822T","DQA1","03:02'","04:01",0.09,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"280","HS822T","B","44:02","35:01",132.01,""
"281","HS822T","A","02:06'","02:06",260.18,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"282","HS822T","DRB1","15:01'","15:01",0.03,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"283","HS822T","C","04:01","07:04'",116.53,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"284","HS863T","A","30:01","01:01",128.29,""
"285","HS863T","B","08:01","13:02",115.05,""
"286","HS863T","C","06:02","07:01'",95.68,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"287","HS863T","DQA1","03:02'","03:02",0.03,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"288","HS863T","DRB1","14:21","07:01",0.06,""
"289","MHHES1","DQA1","03:02'","03:02",0.03,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"290","MHHES1","DRB1","11:01'","13:02'",0.05,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"291","MHHES1","C","07:01'","01:02",67.39,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"292","MHHES1","B","40:01'","49:01",35.76,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"293","MHHES1","A","68:01","01:01",59.99,""
"294","RDES","DRB1","14:76","13:10'",0.08,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"295","RDES","DQB1","03:02'","03:02",0.03,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"296","RDES","B","44:03'","15:01'",14.22,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"297","RDES","A","24:02","29:02",118.64,""
"298","RDES","C","03:03","16:02'",22.11,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"299","SKES1","B","44:02","07:06'",1.09,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"300","SKES1","A","11:01","02:01'",14.11,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"301","SKES1","DRB1","03:02'","11:73",0.08,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"302","SKES1","C","05:01","07:02",4,""
"303","SKES1","DQB1","06:07'","06:07",0.05,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"304","SKNMC","DRB1","03:38","12:27",0.18,""
"305","SKNMC","A","25:01","01:01",35.32,""
"306","SKNMC","DQB1","02:02'","05:01",0.15,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"307","SKNMC","DQA1","05:02'","05:02",0.05,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"308","SKNMC","C","07:01'","07:01",8.71,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"309","SKNMC","B","08:01","08:01",5.47,""
"310","TC71","A","68:01","02:01",32.81,""
"311","TC71","C","03:03","05:01",5.32,""
"312","TC71","B","44:02","15:07'",0.91,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"313","HS706T","DQB1","06:13'","06:13",0.03,"Ambiguity on 4 digit level. Chosen allele had the highest number of reads"
"314","HS706T","A","01:01","11:01",93.02,""
